6:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 735,254 grown=2 stale=0 growableB4=240 | cap=246 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 730,261 grown=2 stale=0 growableB4=3 | cap=29 cov=29 belowMax=228
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 739,257 grown=2 stale=0 growableB4=247 | cap=254 cov=248 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 742,259 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 730,253 grown=2 stale=0 growableB4=85 | cap=96 cov=96 belowMax=244
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 725,257 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 743,254 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 734,261 grown=2 stale=0 growableB4=156 | cap=165 cov=160 belowMax=252
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 743,264 grown=2 stale=0 growableB4=211 | cap=254 cov=244 belowMax=223
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 721,253 grown=2 stale=0 growableB4=197 | cap=211 cov=200 belowMax=251
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 741,257 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 731,256 grown=2 stale=0 growableB4=10 | cap=36 cov=36 belowMax=228
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 736,249 grown=2 stale=0 growableB4=231 | cap=245 cov=232 belowMax=254
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 734,246 grown=2 stale=0 growableB4=239 | cap=250 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,261 grown=2 stale=0 growableB4=232 | cap=243 cov=232 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 728,242 grown=2 stale=0 growableB4=231 | cap=245 cov=232 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 724,253 grown=2 stale=0 growableB4=239 | cap=247 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 733,240 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 732,247 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 743,251 grown=2 stale=0 growableB4=39 | cap=57 cov=56 belowMax=247
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 738,258 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 739,247 grown=2 stale=0 growableB4=156 | cap=167 cov=160 belowMax=252
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 729,254 grown=2 stale=0 growableB4=239 | cap=248 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 724,259 grown=2 stale=0 growableB4=130 | cap=140 cov=136 belowMax=250
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,242 grown=2 stale=0 growableB4=240 | cap=251 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 740,261 grown=2 stale=0 growableB4=247 | cap=254 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 737,256 grown=2 stale=0 growableB4=64 | cap=82 cov=80 belowMax=240
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,255 grown=2 stale=0 growableB4=240 | cap=248 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 728,247 grown=2 stale=0 growableB4=238 | cap=252 cov=240 belowMax=254
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 735,257 grown=2 stale=0 growableB4=32 | cap=52 cov=52 belowMax=236
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 736,262 grown=2 stale=0 growableB4=205 | cap=212 cov=208 belowMax=254
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 723,254 grown=2 stale=0 growableB4=214 | cap=227 cov=216 belowMax=254
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 737,251 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 738,248 grown=2 stale=0 growableB4=240 | cap=251 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 723,249 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 727,247 grown=2 stale=0 growableB4=239 | cap=248 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 725,251 grown=2 stale=0 growableB4=239 | cap=250 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 727,258 grown=2 stale=0 growableB4=239 | cap=252 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 741,255 grown=2 stale=0 growableB4=25 | cap=48 cov=48 belowMax=244
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 722,260 grown=2 stale=0 growableB4=131 | cap=143 cov=136 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 721,243 grown=2 stale=0 growableB4=240 | cap=248 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 740,251 grown=2 stale=0 growableB4=148 | cap=161 cov=152 belowMax=252
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 720,252 grown=2 stale=0 growableB4=92 | cap=103 cov=104 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 722,249 grown=2 stale=0 growableB4=239 | cap=252 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 738,246 grown=2 stale=0 growableB4=239 | cap=252 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 739,259 grown=2 stale=0 growableB4=239 | cap=248 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 734,252 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 730,246 grown=2 stale=0 growableB4=240 | cap=249 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 739,253 grown=2 stale=0 growableB4=240 | cap=250 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 736,257 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=254
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 729,248 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 732,241 grown=2 stale=0 growableB4=238 | cap=252 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 737,246 grown=2 stale=0 growableB4=239 | cap=251 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,248 grown=2 stale=0 growableB4=239 | cap=247 cov=240 belowMax=256
